Country,10Y Yield (%),FRED Ticker
Austria,3.02,IRLTLT01ATM156N
Belgium,3.26,IRLTLT01BEM156N
Croatia,,IRLTLT01HRM156N
Cyprus,,IRLTLT01CYM156N
Estonia,,IRLTLT01EEM156N
Finland,3.07,IRLTLT01FIM156N
France,3.51,IRLTLT01FRM156N
Germany,2.69,IRLTLT01DEM156N
Greece,3.39,IRLTLT01GRM156N
Ireland,2.95,IRLTLT01IEM156N
Italy,3.56,IRLTLT01ITM156N
Latvia,,IRLTLT01LVM156N
Lithuania,,IRLTLT01LTM156N
Luxembourg,2.92,IRLTLT01LUM156N
Malta,,IRLTLT01MTM156N
Netherlands,2.88,IRLTLT01NLM156N
Portugal,3.13,IRLTLT01PTM156N
Slovakia,3.48,IRLTLT01SKM156N
Slovenia,3.19,IRLTLT01SIM156N
Spain,3.27,IRLTLT01ESM156N
