,Default Probability,Implied Spread,Debt/GDP,Deficit/GDP,Current Account/GDP,Inflation (5yr),GDP per Capita,Unemployment,External Debt/GDP,Institutional Quality
Default Probability,1.0,0.9894030090208071,0.9252879908389707,-0.3629012250688405,-0.44432041589742644,-0.4228220648313608,-0.26423473217686677,0.5243227972589963,,-0.33484680325328764
Implied Spread,0.9894030090208071,1.0,0.9216026863086803,-0.36202587575492173,-0.37631579757287253,-0.4519078481297732,-0.23026692098202858,0.4915967826075716,,-0.3358986564744299
Debt/GDP,0.9252879908389707,0.9216026863086803,1.0,-0.3436247752370209,-0.49016955705438675,-0.5042576576134222,-0.358642352247265,0.49083303808550305,,-0.48380666179667076
Deficit/GDP,-0.3629012250688405,-0.36202587575492173,-0.3436247752370209,1.0,0.2289939978895172,-0.11193943887540769,0.303732725768874,-0.20946458186694944,,0.03197363892969529
Current Account/GDP,-0.44432041589742644,-0.37631579757287253,-0.49016955705438675,0.2289939978895172,1.0,-0.15362830475779465,0.792406832947659,-0.4513267044001539,,0.6320652713604301
Inflation (5yr),-0.4228220648313608,-0.4519078481297732,-0.5042576576134222,-0.11193943887540769,-0.15362830475779465,1.0,-0.3225284642693949,0.021567023643465202,,0.06609269949433702
GDP per Capita,-0.26423473217686677,-0.23026692098202858,-0.358642352247265,0.303732725768874,0.792406832947659,-0.3225284642693949,1.0,-0.31571478907002104,,0.7150660156770032
Unemployment,0.5243227972589963,0.4915967826075716,0.49083303808550305,-0.20946458186694944,-0.4513267044001539,0.021567023643465202,-0.31571478907002104,1.0,,-0.2296716731076792
External Debt/GDP,,,,,,,,,,
Institutional Quality,-0.33484680325328764,-0.3358986564744299,-0.48380666179667076,0.03197363892969529,0.6320652713604301,0.06609269949433702,0.7150660156770032,-0.2296716731076792,,1.0
