Feature,Mean Contribution,Std Contribution,Min Contribution,Max Contribution,Country Count
debt_gdp,0.1997,0.20192080260913137,0.034,0.7,20
deficit_gdp,0.0391,0.027775225613750412,0.004,0.114,20
geopolitical,0.02425,0.003354101966249684,0.01,0.025,20
institutional_quality,0.02015,0.015732216359399188,0.0,0.056,20
gdp_volatility,0.01215,0.0072929309680856815,0.003,0.035,20
debt_trajectory,0.01205,0.013770582680788096,0.0,0.047,20
current_account_gdp,0.0,0.0,0.0,0.0,20
gdp_per_capita,0.0,0.0,0.0,0.0,20
inflation_5yr,0.0,0.0,0.0,0.0,20
unemployment,0.0,0.0,0.0,0.0,20
